"slug","label","url"
"acid-neutralizer-vs-soda-ash","Connecticut pH acidity fact sheet","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"after-boil-water-advisory","CDC drinking water advisory overview private well","https://www.cdc.gov/water-emergency/about/drinking-water-advisories-an-overview.html"
"after-flood","CDC disinfect wells after an emergency","https://www.cdc.gov/water-emergency/about/how-to-disinfect-wells-after-an-emergency.html"
"after-flood","EPA private well after flood immediate steps","https://www.epa.gov/privatewells/what-do-your-private-well-after-flood"
"after-heavy-rain","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"after-heavy-rain","Heavy rain private well testing","https://www.epa.gov/privatewells/protect-your-homes-water"
"after-long-vacancy","CDC guidelines treating well water after inactivity","https://www.cdc.gov/drinking-water/safety/guidelines-for-treating-well-water.html"
"after-power-outage","EPA private well guidance after power outage","https://www.epa.gov/privatewells/protect-your-homes-water"
"after-repair","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"after-repair","Post repair private well testing guidance","https://www.epa.gov/privatewells/protect-your-homes-water"
"after-wildfire","CDC private wells after wildfire guidance","https://www.cdc.gov/environmental-health-services/php/water/private-wells-after-a-wildfire.html"
"air-injection-vs-oxidizing-filter","EPA nuisance chemical guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"arsenic","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"arsenic","EPA private well basics","https://www.epa.gov/privatewells"
"arsenic-bedrock-testing-checklist","Maine arsenic guidance","https://www.maine.gov/dhhs/mecdc/environmental-health/dwp/wells/arsenic.htm"
"arsenic-bedrock-testing-checklist","Massachusetts certified labs","https://www.mass.gov/how-to/find-a-certified-laboratory-for-water-testing"
"barium","EPA barium drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"bitter-taste","state well water bitter taste testing guidance","https://www.health.state.mn.us/wellwaterqlty"
"black-stains","EPA black stain manganese nuisance page","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"black-stains","Florida well water odor and staining guide","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf"
"blue-green-stains","Connecticut pH acidity blue green stains copper corrosion","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"blue-green-stains","Connecticut private well testing guidance","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"bottled-water-vs-well-treatment","CDC drinking water advisories overview bottled water use","https://www.cdc.gov/water-emergency/about/drinking-water-advisories-an-overview.html"
"california-after-wildfire-private-well-checklist","CDC private wells after wildfire","https://www.cdc.gov/environmental-health-services/php/water/private-wells-after-a-wildfire.html"
"california-private-well-owner-guide","CDC private wells after wildfire","https://www.cdc.gov/environmental-health-services/php/water/private-wells-after-a-wildfire.html"
"carbon-vs-ro","NSF standards water treatment systems carbon reverse osmosis","https://www.nsf.org/consumer-resources/articles/standards-water-treatment-systems"
"chloride","EPA secondary drinking water standards chloride","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"chromium","EPA chromium drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"cloudy-water","CDC cloudy well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"cloudy-water","EPA private well protection and testing guide","https://www.epa.gov/privatewells/protect-your-homes-water"
"coliform","CDC coliform drinking water standards overview","https://www.cdc.gov/drinking-water/about/drinking-water-standards-and-regulations-an-overview.html"
"coliform","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"connecticut-low-ph-blue-green-stains","Connecticut corrosive low pH private well testing","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"connecticut-low-ph-blue-green-stains","Connecticut pH acidity fact sheet","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"copper","EPA copper drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"e-coli","CDC e coli drinking water guidance overview","https://www.cdc.gov/drinking-water/about/drinking-water-standards-and-regulations-an-overview.html"
"florida-rotten-egg-smell-well-water","Florida odor and staining guide","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf"
"florida-rotten-egg-smell-well-water","Florida private well testing hub","https://www.floridahealth.gov/environmental-health/private-well-testing/index.html"
"florida-sulfur-smell-staining-testing-order","EPA nuisance chemical guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"fluoride","EPA fluoride drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"hardness","EPA secondary standards hardness interpretation","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"home-purchase-test","Home purchase private well testing","https://www.epa.gov/privatewells"
"home-purchase-test","Massachusetts private drinking water testing and certified labs","https://www.mass.gov/info-details/private-drinking-water-testing-and-the-use-of-massdep-certified-laboratories"
"home-sale-private-well-testing-checklist","Connecticut private well testing recommendations","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"home-sale-private-well-testing-checklist","New Hampshire private well lab list","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/labs-private-wells.pdf"
"how-to-read-a-well-water-lab-report","Connecticut private well testing recommendations","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"how-to-read-a-well-water-lab-report","EPA private well basics","https://www.epa.gov/privatewells"
"how-to-verify-water-treatment-claims","EPA filter certification guidance for PFAS","https://www.epa.gov/water-research/identifying-drinking-water-filters-certified-reduce-pfas"
"iowa-nitrate-baby-well-water","EPA infant and private well guidance","https://www.epa.gov/children/private-wells-and-drinking-water-safety-and-infants"
"iowa-nitrate-baby-well-water","Iowa State Hygienic Lab private well water","https://shl.uiowa.edu/environmental-testing/private-well-water"
"iron","EPA secondary drinking water standards iron","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"lead","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"lead","EPA lead in drinking water basic information","https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water"
"low-ph-copper-corrosion-testing-order","Connecticut pH acidity fact sheet","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"low-water-pressure","EPA private well low pressure maintenance guidance","https://www.epa.gov/privatewells/protect-your-homes-water"
"mail-in-lab-vs-local-certified-lab","CDC certified lab testing guidance private well","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"mail-in-lab-vs-local-certified-lab","New Hampshire private well laboratory list","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/labs-private-wells.pdf"
"maine-bedrock-arsenic-private-well","EPA private wells basics","https://www.epa.gov/privatewells"
"maine-bedrock-arsenic-private-well","Maine water testing labs","https://www.maine.gov/dhhs/mecdc/environmental-health/eohp/wells/documents/water-testing-labs.pdf"
"manganese","EPA secondary standards manganese private wells","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
